154,Ren,REN,"$175,255,199 ",$0.18 ,"999,037,500 REN *","$228,838,395 ",-0.25%,9.53%,22.68%,
151,Render Token,RNDR,"$181,701,323 ",$0.72 ,"253,798,860 RNDR *","$15,924,902 ",-0.09%,-6.44%,0.37%,
176,Request,REQ,"$132,691,691 ",$0.13 ,"999,830,316 REQ *","$4,133,916 ",0.23%,-2.64%,-0.96%,
105,Reserve Rights,RSR,"$351,123,996 ",$0.01 ,"42,302,323,974 RSR *","$69,914,185 ",0.90%,6.68%,22.24%,
146,Secret,SCRT,"$196,611,981 ",$1.20 ,"163,295,557 SCRT *","$10,213,789 ",0.17%,-9.11%,12.68%,
128,Serum,SRM,"$255,054,876 ",$0.97 ,"263,244,669 SRM *","$50,847,148 ",-0.01%,-5.11%,-1.58%,
15,Shiba Inu,SHIB,"$6,579,276,450 ",$0.00 ,"549,063,278,876,302 SHIB *","$613,323,980 ",0.19%,-3.03%,-0.21%,
135,Siacoin,SC,"$232,447,444 ",$0.00 ,"51,709,042,992 SC","$5,188,293 ",-0.03%,-4.84%,-3.56%,
134,SKALE Network,SKL,"$233,721,983 ",$0.06 ,"3,676,102,671 SKL *","$22,456,576 ",0.04%,-4.62%,7.22%,
144,Smooth Love Potion,SLP,"$199,977,810 ",$0.00 ,"43,011,349,957 SLP *","$41,149,516 ",-0.44%,-6.29%,6.10%,
9,Solana,SOL,"$14,038,730,595 ",$40.29 ,"348,406,833 SOL *","$927,414,185 ",0.04%,-4.54%,-4.45%,
166,Spell Token,SPELL,"$146,659,354 ",$0.00 ,"97,069,835,293 SPELL *","$155,382,631 ",9.08%,26.98%,37.92%,
69,Stacks,STX,"$630,718,296 ",$0.48 ,"1,327,370,318 STX","$22,020,935 ",-0.24%,-5.84%,6.98%,
193,Status,SNT,"$111,249,670 ",$0.03 ,"3,470,483,788 SNT *","$5,418,423 ",0.16%,-5.74%,-0.87%,
27,Stellar,XLM,"$3,099,619,405 ",$0.12 ,"25,233,045,146 XLM *","$205,829,451 ",0.36%,-9.88%,4.44%,
75,STEPN,GMT,"$577,117,243 ",$0.96 ,"600,000,000 GMT *","$398,109,021 ",-0.15%,2.37%,1.93%,
130,Storj,STORJ,"$247,924,720 ",$0.66 ,"376,065,003 STORJ *","$32,552,930 ",0.10%,-5.61%,-2.30%,
